сапогоу|sapogu|сапогоу
фарисеі|fariseji|фарисеи
ѣко|ako|ако
и҃с|jisusъ|исоусъ
множаꙇшѧ|mъnožǢjьšę|мъножаишѧ
оученикꙑ|učeniky|оученикъі
творитъ|tvoritъ|творитъ
ꙇ|i|и
крьштаетъ|krьšћǢjetъ|крьщаѥтъ
неже|neže|неже
ꙇоанъ|ijoanъ|иоанъ
ꙇ҃с|jisusъ|исоусъ
самъ|samъ|самъ
не|ne|не
крьштааше|krьšћǢaše|крьщааше
нъ|nъ|нъ
оученици|učeniki|оученици
его|jego|ѥго
остави|ostavi|остави
ꙇюдеѫ|ijudejǫ|июдеѭ
ꙇ|i|и
иде|jьde|иде
пакꙑ|paky|пакъі
въ|vъ|въ
галилеѭ|galilejǫ|галилеѭ
достоѣше|dostojǢaše|достоꙗаше
емоу|jemu|ѥмоу
проꙇти|projьti|проити
сквозѣ|skvozě|сквозѣ
самариѭ|samarijǫ|самариѭ
Приде|prijьde|прииде
же|že|же
въ|vъ|въ
градъ|gordъ|градъ
самарьскъ|samarьskъ|самарьскъ
нарицаемъі|narikajemъjь|нарицаѥмъіи
соухарь||
ꙇскрь|jьskrь|искрь
вьси|vьxi|вьси
ѭже|jǫže|ѭже
дастъ|dastъ|дастъ
ꙇѣковъ|ijǢkovъ|иꙗковъ
ꙇосифоу|ijosifu|иосифоу
с҃ноу|synu|съіноу
своемоу|svojemu|своѥмоу
бѣ|bě|бѣ
же|že|же
тоу|tu|тоу
кладѧзь||
ꙇѣковл҄ь|ijǢkovĺь|иꙗковл҄ь
ꙇ҃с|jisusъ|исоусъ
же|že|же
троуждь|truђь|троуждь
сѧ|sę|сѧ
отъ|otъ|отъ
пѫти|pǫti|пѫти
сѣдѣаше|sěděaše|сѣдѣаше
тако|tako|тако
на|na|на
кладѧзи||
часъ|čǢsъ|часъ
бѣ|bě|бѣ
ѣко|ako|ако
шестꙑ|šestъjь|шестъіи
приде|prijьde|прииде
жена|žena|жена
отъ|otъ|отъ
самариѩ|samariję|самариѩ
почрѣтъ|počertъ|почрѣтъ
водꙑ|vody|водъі
г҃ла|golgola|глагола
еи|jejь|ѥи
ꙇ҃с|jisusъ|исоусъ
даждь|daђь|даждь
ми|mъně|мънѣ
пити|piti|пити
оученици|učeniki|оученици
бо|bo|бо
его|jego|ѥго
ошьли|otъšьdli|отъшьли
бѣахѫ|běaxǫ|бѣахѫ
въ|vъ|въ
градъ|gordъ|градъ
да|da|да
брашьна|boršьna|брашьна
коупѧтъ|kupętъ|коупѧтъ
г҃ла|golgola|глагола
же|že|же
емоу|jemu|ѥмоу
жена|žena|жена
самарѣнꙑн҄и|samarěnyńi|самарѣнъін҄и
како|kako|како
тꙑ|ty|тъі
ꙇюдеи|ijudejь|июдеи
сꙑ|sy|съі
отъ|otъ|отъ
мене|mene|мене
пити|piti|пити
просиши|prosiši|просиши
женꙑ|ženy|женъі
самарѣнꙑн҄ѧ|samarěnyńę|самарѣнъінѩ
сѫштѧ|sǫћę|сѫщѧ
не|ne|не
прикасаѭтъ|prikasajǫtъ|прицасаѭтъ
бо|bo|бо
сѧ|sę|сѧ
ꙇюдеи|ijudeji|июдеи
самарѣнехъ|samarěnьxъ|самарѣньхъ
отъвѣшта|otъvěћǢ|отъвѣща
и҃с|jisusъ|исоусъ
ꙇ|i|и
рече|reče|рече
еі|jejь|ѥи
аште|aћe|аще
би|bi|би
вѣдѣла|věděla|вѣдѣла
даръ|darъ|даръ
б҃жі|božьji|божии
ꙇ|i|и
