sapogu|сапогоу
sę|сѧ
otъvěћǞ|отъвѣща
jimъ|имъ
jisusъ|исоусъ
rěxъ|рѣхъ
vamъ|вамъ
i|и
ne|не
věrujete|вѣроуѥте
děla|дѣла
jǞže|ꙗже
tvoŕǫ|творѭ
azъ|азъ
vъ|въ
jьmę|имѧ
boga|бога
mojego|моѥго
ta|та
sъvěděteĺьstvujǫtъ|съвѣдѣтел҄ьствоуѭтъ
o|о
mъně|мънѣ
nъ|нъ
vy|въі
ne|не
věrujete|вѣроуѥте
něste|нѣсте
bo|бо
otъ|отъ
ovьkь|овьць
mojixъ|моихъ
akože|акоже
rěxъ|рѣхъ
vamъ|вамъ
ovьkę|овьцѧ
moję|моѩ
golsa|гласа
mojego|моѥго
slušǞjǫtъ|слоушаѭтъ
i|и
azъ|азъ
znajǫ|знаѭ
ję|ѩ
i|и
po|по
mъně|мънѣ
grędǫtъ|грѧдѫтъ
i|и
azъ|азъ
životъ|животъ
věčьnъjь|вѣчьнъіи
dajǫ|даѭ
jimъ|имъ
i|и
ne|не
pogybnǫtъ|погъібнѫтъ
vъ|въ
věkъ|вѣкъ
i|и
ne|не
vъsxytitъ|въсхъітитъ
jixъ|ихъ
nikъtože|никътоже
otъ|отъ
rǫky|рѫкъі
mojeję|моѥѩ
otьkь|отьць
mojь|мои
jьže|иже
dastъ|дастъ
mъně|мънѣ
boĺьjь|бол҄ии
vьxěxъ|вьсѣхъ
jestъ|ѥстъ
i|и
nikъtože|никътоже
ne|не
možetъ|можетъ
vъsxytiti|въсхъітити
jixъ|ихъ
otъ|отъ
rǫky|рѫкъі
boga|бога
mojego|моѥго
azъ|азъ
i|и
otьkь|отьць
jedino|ѥдино
jesvě|ѥсвѣ
vъzęšę|възѧшѧ
že|же
paky|пакъі
kamenьje|камениѥ
ijudeji|июдеи
da|да
i|и
pobьjǫtъ|побиѭтъ
i|и
otъvěћǞ|отъвѣща
jimъ|имъ
jisusъ|исоусъ
mъnoga|мънога
děla|дѣла
dobrajǞ|добраꙗ
avixъ|авихъ
vamъ|вамъ
otъ|отъ
boga|бога
mojego|моѥго
za|за
koje|коѥ
jixъ|ихъ
dělo|дѣло
kamenьje|камениѥ
na|на
mę|мѧ
|
otъvěћǞšę|отъвѣщашѧ
jemu|ѥмоу
ijudeji|июдеи
golgoĺǫћe|глаголѭще
o|о
dobrě|добрѣ
dělě|дѣлѣ
ne|не
meћemъ|мещемъ
kamenьjǞ|камениꙗ
na|на
tę|тѧ
nъ|нъ
o|о
|
ako|ако
ty|тъі
čьlověkъ|чьловѣкъ
sy|съі
tvoriši|твориши
sę|сѧ
samъ|самъ
bogъ|богъ
otъvěћǞ|отъвѣща
jimъ|имъ
jisusъ|исоусъ
něstъ|нѣстъ
li|ли
pьsano|пьсано
vъ|въ
zakoně|законѣ
vašemь|вашемь
ako|ако
azъ|азъ
rěxъ|рѣхъ
bogi|боѕи
jeste|ѥсте
aћe|аще
onъ|онъ
reče|рече
bogy|богъі
kъ|къ
ńimъže|н҄имъже
reče|рече
slovo|слово
božьje|божиѥ
i|и
ne|не
mogǫtъ|могѫтъ
sę|сѧ
orzoriti|разорити
kъńigy|кън҄игъі
jegože|ѥгоже
otьkь|отьць
corrupted morphology tag|црароуптед мрапhологъі таг
i|и
posъla|посъла
vъ|въ
mirъ|миръ
vy|въі
golgoĺete|глагол҄ете
ako|ако
vlasvimĺǞješi|власвимлꙗѥши
zańe|зан҄е
rěxъ|рѣхъ
ako|ако
synъ|съінъ
božьjь|божии
jesmь|ѥсмь
aћe|аще
ne|не
tvoŕǫ|творѭ
dělъ|дѣлъ
boga|бога
mojego|моѥго
ne|не
jemĺěte|ѥмл҄ѣте
mъně|мънѣ
věry|вѣръі
aћe|аще
li|ли
tvoŕǫ|творѭ
aћe|аще
i|и
mъně|мънѣ
věry|вѣръі
ne|не
jemĺete|ѥмл҄ете
dělomъ|дѣломъ
mojimъ|моимъ
věrǫ|вѣрѫ
jьměte|имѣте
da|да
orzumějete|разоумѣѥте
i|и
věrujete|вѣроуѥте
ako|ако
vъ|въ
mъně|мънѣ
otьkь|отьць
i|и
azъ|азъ
vъ|въ
otьki|отьци
jьskaaxǫ|искаахѫ
že|же
jego|ѥго
paky|пакъі
jęti|ѩти
jьzide|изиде
otъ|отъ
rǫky|рѫкъі
jixъ|ихъ
i|и
jьde|иде
paky|пакъі
na|на
onъ|онъ
polъ|полъ
ijorъdana|иоръдана
na|на
město|мѣсто
jьdeže|идеже
bě|бѣ
ijoanъ|иоанъ
perђe|прѣжде
krьstę|крьстѧ
i|и
|
tu|тоу
i|и
mъnogi|мъноѕи
prijьdǫ|приидѫ
kъ|къ
ńemu|н҄емоу
i|и
golgolaaxǫ|глаголаахѫ
ako|ако
ijoanъ|иоанъ
ubo|оубо
znamenьjǞ|знамениꙗ
ne|не
sъtvori|сътвори
ni|ни
|
že|же
vьxa|вьсꙗ
corrupted morphology tag|црароуптед мрапhологъі таг
reče|рече
ijoanъ|иоанъ
o|о
semь|семь
jьstina|истина
bě|бѣ
i|и
mъnogi|мъноѕи
věrovašę|вѣровашѧ
vъ|въ
ńego|н҄его
tu|тоу
bě|бѣ
že|же
jeterъ|ѥтеръ
bolę|болѧ
lazarъ|лазаръ
otъ|отъ
vitaniję|витаниѩ
gordьkь|градьць
marijina|мариина
i|и
|
sestry|сестръі
jeję|ѥѩ
bě|бѣ
že|же
marijǞ|мариꙗ
pomazavъšijǞ|помазавъшиꙗ
gospoda|господа
müromь|мѵромь
i|и
otьrъši|отьръши
nogě|ноѕѣ
jego|ѥго
volsy|власъі
svojimi|своими
jejęže|ѥѩже
bratrъ|братръ
lazarъ|лазаръ
bolěaše|болѣаше
posъlaste|посъласте
že|же
sestrě|сестрѣ
jego|ѥго
kъ|къ
ńemu|н҄емоу
golgoĺǫћi|глаголѭщи
gospodi|господи
corrupted morphology tag|црароуптед мрапhологъі таг
jegože|ѥгоже
ty|тъі
ĺubiši|любиши
bolitъ|болитъ
slyšǞvъ|слъішавъ
že|же
jisusъ|исоусъ
reče|рече
si|си
bolěznь|болѣзнь
něstъ|нѣстъ
kъ|къ
sъmŕ̥ti|съмрьти
nъ|нъ
kъ|къ
slavě|славѣ
božьji|божии
da|да
proslavitъ|прославитъ
sę|сѧ
synъ|съінъ
božьjь|божии
jejǫ|ѥѭ
ĺubĺǞaše|люблꙗаше
že|же
jisusъ|исоусъ
marъtǫ|марътѫ
i|и
sestrǫ|сестрѫ
jeję|ѥѩ
i|и
lazarě|лазарѣ
jegъda|ѥгъда
že|же
uslyšǞ|оуслъіша
ako|ако
bolitъ|болитъ
tъgъda|тъгъда
že|же
perbystъ|прѣбъістъ
na|на
ńemьže|н҄емьже
bě|бѣ
městě|мѣстѣ
dъva|дъва
dьni|дьни
potomь|потомь
že|же
golgola|глагола
učenikomъ|оученикомъ
jьděmъ|идѣмъ
vъ|въ
ijudejǫ|июдеѭ
paky|пакъі
golgolašę|глаголашѧ
jemu|ѥмоу
učeniki|оученици
ravvi|равви
nyně|нъінѣ
jьskaaxǫ|искаахѫ
tebe|тебе
kamenьjemь|камениѥмь
pobiti|побити
ijudeji|июдеи
i|и
paky|пакъі
li|ли
jьdeši|идеши
tamo|тамо
otъvěћǞ|отъвѣща
jisusъ|исоусъ
ne|не
dъva|дъва
li|ли
na|на
desęte|десѧте
čǞsa|часа
jeste|ѥсте
vъ|въ
dьni|дьни
aћe|аще
kъto|къто
xoditъ|ходитъ
vъ|въ
dьne|дьне
ne|не
potъknetъ|потъкнетъ
sę|сѧ
ako|ако
světъ|свѣтъ
mira|мира
sego|сего
viditъ|видитъ
aћe|аще
li|ли
kъto|къто
xoditъ|ходитъ
noћьjǫ|нощиѭ
potъknetъ|потъкнетъ
sę|сѧ
ako|ако
světa|свѣта
něstъ|нѣстъ
o|о
ńemь|н҄емь
si|си
reče|рече
i|и
po|по
semь|семь
golgola|глагола
lazarъ|лазаръ
drugъ|дроугъ
našь|нашь
usъpe|оусъпе
nъ|нъ
jьdǫ|идѫ
da|да
vъzbuђǫ|възбоуждѫ
i|и
rěšę|рѣшѧ
že|же
učeniki|оученици
jego|ѥго
gospodi|господи
aћe|аще
usъpe|оусъпе
sъpasenъ|съпасенъ
bǫdetъ|бѫдетъ
jisusъ|исоусъ
že|же
reče|рече
o|о
sъmŕ̥ti|съмрьти
jego|ѥго
oni|они
že|же
mьněšę|мьнѣшѧ
ako|ако
o|о
usъpenьji|оусъпении
syni|съіни
i|и
sъna|съна
golgoĺetъ|глагол҄етъ
tъgъda|тъгъда
reče|рече
jimъ|имъ
jisusъ|исоусъ
ne|не
obvinuję|обиноуѩ
sę|сѧ
lazarъ|лазаръ
umertъ|оумрѣтъ
i|и
radujǫ|радоуѭ
sę|сѧ
vasъ|васъ
radi|ради
da|да
věrǫ|вѣрѫ
jьmete|имете
ako|ако
ne|не
běxъ|бѣхъ
tu|тоу
nъ|нъ
jьděmъ|идѣмъ
kъ|къ
ńemu|н҄емоу
reče|рече
že|же
toma|тома
narikajemъjь|нарицаѥмъіи
bliznьkь|близньць
kъ|къ
učenikomъ|оученикомъ
jьděmъ|идѣмъ
i|и
my|мъі
da|да
umьremъ|оумьремъ
﻿sъ|﻿съ
ńimь|н҄имь
prišьdъ|пришьдъ
že|же
jisusъ|исоусъ
vъ|въ
vitanijǫ|витаниѭ
obrěte|обрѣте
i|и
četyri|четъіри
dьni|дьни
jьmǫћь|имѫщь
vъ|въ
grobě|гробѣ
bě|бѣ
že|же
vitanijǞ|витаниꙗ
blizъ|близъ
ijerusalima|иѥроусалима
ako|ако
corrupted morphology tag|црароуптед мрапhологъі таг
i|и
stadijь|стадии
i|и
mъnogi|мъноѕи
že|же
běaxǫ|бѣахѫ
prišьdli|пришьли
kъ|къ
marъtě|марътѣ
i|и
|
da|да
utěšętъ|оутѣшѧтъ
i|и
o|о
bratrьji|братрии
jeju|ѥю
marъta|маръта
že|же
jegъda|ѥгъда
uslyšǞ|оуслъіша
ako|ако
jisusъ|исоусъ
grędetъ|грѧдетъ
sъrěte|сърѣте
i|и
a|а
marijǞ|мариꙗ
doma|дома
sěděaše|сѣдѣаше
reče|рече
že|же
marъta|маръта
kъ|къ
jisusu|исоусоу
gospodi|господи
aћe|аще
bi|би
sьde|сьде
bylъ|бъілъ
ne|не
bi|би
bratrъ|братръ
mojь|мои
umŕ̥lъ|оумрьлъ
nyně|нъінѣ
věmь|вѣмь
ako|ако
jegože|ѥгоже
koližьdo|колижьдо
prosiši|просиши
otъ|отъ
boga|бога
dastъ|дастъ
tebě|тебѣ
bogъ|богъ
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
vъskrьsnetъ|въскрьснетъ
bratrъ|братръ
tvojь|твои
golgola|глагола
jemu|ѥмоу
|
věmь|вѣмь
ako|ако
vъskrьsnetъ|въскрьснетъ
vъ|въ
vъskrěšenьje|въскрѣшениѥ
vъ|въ
poslědьńь|послѣдьн҄ь
dьnь|дьнь
reče|рече
že|же
jejь|ѥи
jisusъ|исоусъ
azъ|азъ
jesmь|ѥсмь
vъskrěšenьje|въскрѣшениѥ
i|и
životъ|животъ
věrujęjь|вѣроуѩи
vъ|въ
mę|мѧ
aћe|аще
umьretъ|оумьретъ
oživetъ|оживетъ
i|и
vьxakъ|вьсꙗкъ
živyjь|живъіи
i|и
věrujęjь|вѣроуѩи
vъ|въ
mę|мѧ
ne|не
umьretъ|оумьретъ
vъ|въ
věkъ|вѣкъ
jьmeši|имеши
li|ли
věrǫ|вѣрѫ
semu|семоу
golgola|глагола
jemu|ѥмоу
????|????
gospodi|господи
azъ|азъ
věrovaxъ|вѣровахъ
ako|ако
ty|тъі
jesi|ѥси
xristosъ|христосъ
synъ|съінъ
božьjь|божии
grędyjь|грѧдъіи
vъ|въ
mirъ|миръ
i|и
se|се
rekъši|рекъши
jьde|иде
i|и
prizъva|призъва
marijǫ|мариѭ
sestrǫ|сестрѫ
svojǫ|своѭ
taji|таи
i|и
rekъši|рекъши
jejь|ѥи
učiteĺь|оучител҄ь
se|се
jestъ|ѥстъ
i|и
zovetъ|зоветъ
tę|тѧ
ona|она
že|же
ako|ако
uslyšǞ|оуслъіша
vъsta|въста
skoro|скоро
i|и
jьde|иде
kъ|къ
ńemu|н҄емоу
ne|не
bě|бѣ
že|же
ne|не
u|оу
jisusъ|исоусъ
prišьdlъ|пришьлъ
vъ|въ
vьxь|вьсь
nъ|нъ
bě|бѣ
na|на
městě|мѣстѣ
ješče|ѥще
jьdeže|идеже
sъrěte|сърѣте
i|и
|
ijudeji|июдеи
že|же
sǫћeji|сѫщеи
﻿sъ|﻿съ
ńejǫ|н҄еѭ
vъ|въ
domu|домоу
i|и
utěšǞjǫћe|оутѣшаѭще
jǫ|ѭ
viděvъše|видѣвъше
marijǫ|мариѭ
ako|ако
skoro|скоро
vъsta|въста
i|и
jьzide|изиде
po|по
ńejь|н҄еи
jьdǫ|идѫ
golgoĺǫћe|глаголѭще
ako|ако
jьdetъ|идетъ
na|на
grobъ|гробъ
i|и
plačetъ|плачетъ
sę|сѧ
tu|тоу
marijǞ|мариꙗ
že|же
ako|ако
prijьde|прииде
jьdeže|идеже
bě|бѣ
jisusъ|исоусъ
viděvъši|видѣвъши
i|и
pade|паде
jemu|ѥмоу
na|на
nogu|ногоу
golgoĺǫћi|глаголѭщи
jemu|ѥмоу
gospodi|господи
aћe|аще
bi|би
bylъ|бъілъ
sьde|сьде
ne|не
bi|би
mojь|мои
bratrъ|братръ
umŕ̥lъ|оумрьлъ
jisusъ|исоусъ
že|же
ako|ако
vidě|видѣ
jǫ|ѭ
plačǫћǫ|плачѫщѫ
sę|сѧ
i|и
|
﻿sъ|﻿съ
ńejǫ|н҄еѭ
ijudejǫ|июдеѭ
plačǫћę|плачѫщѧ
sę|сѧ
zaperti|запрѣти
duxu|доухоу
i|и
vъzmǫti|възмѫти
sę|сѧ
samъ|самъ
i|и
reče|рече
kъde|къде
položiste|положисте
i|и
golgolašę|глаголашѧ
jemu|ѥмоу
gospodi|господи
grędi|грѧди
i|и
viђь|виждь
i|и
proslьzi|просльзи
sę|сѧ
jisusъ|исоусъ
golgolaaxǫ|глаголаахѫ
že|же
ijudeji|июдеи
viђь|виждь
kako|како
ĺubĺǞaše|люблꙗаше
i|и
jeteri|ѥтери
že|же
otъ|отъ
ńixъ|н҄ихъ
rěšę|рѣшѧ
ne|не
možǞaše|можааше
li|ли
sь|сь
otvŕ̥zъjь|отврьзъіи
oči|очи
slěpujemu|слѣпоуѥмоу
sъtvoriti|сътворити
da|да
i|и
sь|сь
ne|не
umьretъ|оумьретъ
jisusъ|исоусъ
že|же
paky|пакъі
pertę|прѣтѧ
vъ|въ
sebě|себѣ
prijьde|прииде
kъ|къ
grobu|гробоу
bě|бѣ
že|же
peћь|пещь
i|и
kamenь|камень
naležǞaše|належааше
na|на
ńejь|н҄еи
golgola|глагола
jisusъ|исоусъ
vъzьměte|възьмѣте
kamenь|камень
golgola|глагола
jemu|ѥмоу
sestra|сестра
umъnožьšǞjego|оумъножьшаѥго
|
gospodi|господи
juže|юже
smŕ̥ditъ|смрьдитъ
četvrědьnevьnъ|четврѣдьневьнъ
bo|бо
jestъ|ѥстъ
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
ne|не
rěxъ|рѣхъ
li|ли
tebě|тебѣ
ako|ако
aћe|аще
věruješi|вѣроуѥши
uzьriši|оузьриши
slavǫ|славѫ
božьjǫ|божиѭ
vъzęsę|възѧсѧ
že|же
kamenь|камень
jisusъ|исоусъ
že|же
vъzvede|възведе
oči|очи
vъjьsprь|въіиспрь
i|и
reče|рече
otьče|отьче
xvalǫ|хвалѫ
tebě|тебѣ
vъzdajǫ|въздаѭ
ako|ако
uslyšǞ|оуслъіша
mę|мѧ
azъ|азъ
věděaxъ|вѣдѣахъ
ako|ако
vьxegъda|вьсегъда
mene|мене
poslušǞješi|послоушаѥши
nъ|нъ
naroda|народа
radi|ради
|
okrьstъ|окрьстъ
rěxъ|рѣхъ
da|да
věrǫ|вѣрѫ
jьmǫtъ|имѫтъ
ako|ако
ty|тъі
mę|мѧ
posъla|посъла
i|и
se|се
rekъ|рекъ
golsomь|гласомь
velьjemь|велиѥмь
vъzgolsi|възгласи
|
grędi|грѧди
vъnъ|вънъ
i|и
abьje|абиѥ
jьzide|изиде
umъjь|оумъіи
obvęzanъ|обѧзанъ
nogama|ногама
i|и
rǫkama|рѫкама
ukrojemь|оукроѥмь
i|и
like|лице
jego|ѥго
obvęzano|обѧзано
|
golgola|глагола
jimъ|имъ
jisusъ|исоусъ
orzrěšite|раздрѣшите
i|и
i|и
ne|не
dějěte|дѣѣте
jego|ѥго
jьti|ити
mъnogi|мъноѕи
že|же
otъ|отъ
ijudeji|июдеи
prišьdъšeji|пришьдъшеи
kъ|къ
mariji|марии
viděvъše|видѣвъше
ježe|ѥже
sъtvori|сътвори
jisusъ|исоусъ
věrovašę|вѣровашѧ
vъ|въ
ńego|н҄его
jeteri|ѥтери
že|же
otъ|отъ
ńixъ|н҄ихъ
jьdǫ|идѫ
kъ|къ
farisejomъ|фарисеомъ
i|и
rěšę|рѣшѧ
jimъ|имъ
ježe|ѥже
corrupted morphology tag|црароуптед мрапhологъі таг
corrupted morphology tag|црароуптед мрапhологъі таг
sъbьrašę|събьрашѧ
že|же
arъx́ijereji|аръхиѥреи
i|и
fariseji|фарисеи
|
i|и
golgolaaxǫ|глаголаахѫ
čьto|чьто
sъtvorimъ|сътворимъ
ako|ако
čьlověkъ|чьловѣкъ
﻿sъ|﻿съ
znamenьjǞ|знамениꙗ
mъnoga|мънога
tvoritъ|творитъ
aћe|аще
ostavimъ|оставимъ
i|и
tako|тако
vьxi|вьси
věrǫ|вѣрѫ
jьmǫtъ|имѫтъ
vъ|въ
ńь|н҄ь
i|и
prijьdǫtъ|приидѫтъ
rimĺǞne|римлꙗне
i|и
vъzьmǫtъ|възьмѫтъ
i|и
město|мѣсто
językъ|ѩзъікъ
jedinъ|ѥдинъ
že|же
otъ|отъ
ńixъ|н҄ихъ
kajijǞfa|каиꙗфа
arъx́ijerejь|аръхиѥреи
sy|съі
lětu|лѣтоу
tomu|томоу
reče|рече
jimъ|имъ
vy|въі
ne|не
věste|вѣсте
ničesože|ничесоже
ni|ни
pomyšĺǞjete|помъішлꙗѥте
ako|ако
dobrě|добрѣ
jestъ|ѥстъ
vamъ|вамъ
da|да
jedinъ|ѥдинъ
čьlověkъ|чьловѣкъ
umьretъ|оумьретъ
za|за
ĺudi|люди
a|а
ne|не
vьxь|вьсь
językъ|ѩзъікъ
pogybnetъ|погъібнетъ
sego|сего
že|же
o|о
sebě|себѣ
ne|не
reče|рече
nъ|нъ
arъx́ijerejь|аръхиѥреи
sy|съі
lětu|лѣтоу
tomu|томоу
proreče|прорече
ako|ако
xotěaše|хотѣаше
jisusъ|исоусъ
umerti|оумрѣти
za|за
ĺudi|люди
i|и
ne|не
tъkъmo|тъкъмо
za|за
ĺudi|люди
nъ|нъ
i|и
da|да
čęda|чѧда
božьjǞ|божиꙗ
sъberetъ|съберетъ
orstočenajǞ|расточенаꙗ
vъ|въ
jedino|ѥдино
otъ|отъ
togo|того
že|же
dьne|дьне
sъvěšћǞšę|съвѣщашѧ
da|да
i|и
bǫ|бѫ
ubili|оубили
jisusъ|исоусъ
že|же
kъ|къ
tomu|томоу
ne|не
avě|авѣ
xoђǞaše|хождааше
vъ|въ
ijudejixъ|июдеихъ
nъ|нъ
jьde|иде
otъtǫdu|отътѫдоу
vъ|въ
stornǫ|странѫ
blizъ|близъ
vъ|въ
pustyńi|поустъін҄и
vъ|въ
|
narikajemъ|нарицаѥмъ
gordъ|градъ
i|и
tu|тоу
živěaše|живѣаше
﻿sъ|﻿съ
učeniky|оученикъі
svojimi|своими
bě|бѣ
že|же
blizъ|близъ
pasxa|пасха
ijudejьska|июдеиска
i|и
vъzidǫ|възидѫ
mъnogi|мъноѕи
vъ|въ
ijerusalimъ|иѥроусалимъ
otъ|отъ
storny|странъі
perђe|прѣжде
pasxy|пасхъі
da|да
očistętъ|очистѧтъ
sę|сѧ
i|и
jьskaaxǫ|искаахѫ
že|же
jisusa|исоуса
i|и
golgolaaxǫ|глаголаахѫ
kъ|къ
sebě|себѣ
vъ|въ
kŕ̥kъve|црькъве
stojęћe|стоѩще
čьto|чьто
sę|сѧ
mьnitъ|мьнитъ
vamъ|вамъ
ako|ако
ne|не
jьmatъ|иматъ
li|ли
prijьti|приити
vъ|въ
porzdьnikъ|праздьникъ
dašę|дашѧ
bo|бо
arъx́ijereji|аръхиѥреи
i|и
fariseji|фарисеи
zapovědь|заповѣдь
da|да
aћe|аще
kъto|къто
oћutitъ|ощоутитъ
i|и
kъde|къде
bǫdetъ|бѫдетъ
|
da|да
jьmǫtъ|имѫтъ
i|и
jisusъ|исоусъ
že|же
perђe|прѣжде
šesti|шести
dьnъ|дьнъ
pasxy|пасхъі
prijьde|прииде
vъ|въ
vitanijǫ|витаниѭ
jьdeže|идеже
bě|бѣ
lazarъ|лазаръ
umъjь|оумъіи
jegože|ѥгоже
vъskrěsi|въскрѣси
otъ|отъ
mŕ̥tvъjixъ|мрьтвъіихъ
jisusъ|исоусъ
sъtvorišę|сътворишѧ
že|же
jemu|ѥмоу
večeŕǫ|вечерѭ
tu|тоу
i|и
|
služǞaše|слоужааше
lazarъ|лазаръ
že|же
jedinъ|ѥдинъ
bě|бѣ
otъ|отъ
vъzležęћьjixъ|възлежѧщиихъ
﻿sъ|﻿съ
ńimь|н҄имь
marijǞ|мариꙗ
že|же
prijьmъši|приимъши
|
xrizmy|хризмъі
narъda|наръда
pistiḱiję|пистик҄иѩ
|
pomaza|помаза
nogě|ноѕѣ
jisusově|исоусовѣ
i|и
otŕ̥|отрь
volsy|власъі
svojimi|своими
nogě|ноѕѣ
jego|ѥго
xormina|храмина
že|же
jьspĺ̥ni|испльни
sę|сѧ
otъ|отъ
vońę|вонѩ
xrizmьnyjeję|хризмьнъіѥѩ
golgola|глагола
že|же
jedinъ|ѥдинъ
otъ|отъ
učenikъ|оученикъ
jego|ѥго
ijuda|июда
simonъ|симонъ
iskarijotьskъjь|искариотьскъіи
jьže|иже
i|и
xotěaše|хотѣаше
perdati|прѣдати
česo|чесо
radi|ради
xrizma|хризма
si|си
ne|не
prodana|продана
bystъ|бъістъ
na|на
trьxъ|трьхъ
|
pěnęgь|пѣнѧѕь
i|и
dana|дана
nišћemъjimъ|нищиимъ
corrupted morphology tag|црароуптед мрапhологъі таг
že|же
reče|рече
ne|не
ako|ако
o|о
|
pečǞaše|печааше
sę|сѧ
nъ|нъ
ako|ако
tatь|тать
bě|бѣ
i|и
kovьčegъ|ковьчегъ
jьmy|имъі
i|и
|
nošǞaše|ношааше
reče|рече
že|же
jisusъ|исоусъ
ne|не
ději|дѣи
jeję|ѥѩ
da|да
vъ|въ
dьnь|дьнь
pogrebenьjǞ|погребениꙗ
mojego|моѥго
sъbĺudetъ|съблюдетъ
jǫ|ѭ
nišћęję|нищѧѩ
bo|бо
vьxegъda|вьсегъда
﻿sъ|﻿съ
sobojǫ|собоѭ
jьmate|имате
a|а
mene|мене
ne|не
vьxegъda|вьсегъда
jьmate|имате
orzumě|разоумѣ
že|же
narodъ|народъ
mъnogъ|мъногъ
otъ|отъ
ijudeji|июдеи
ako|ако
tu|тоу
jestъ|ѥстъ
i|и
prijьdǫ|приидѫ
ne|не
jisusa|исоуса
radi|ради
tъkъmo|тъкъмо
nъ|нъ
da|да
i|и
lazara|лазара
vidętъ|видѧтъ
jegože|ѥгоже
vъskrěsi|въскрѣси
otъ|отъ
mŕ̥tvъjixъ|мрьтвъіихъ
sъvěšћǞšę|съвѣщашѧ
že|же
arъx́ijereji|аръхиѥреи
do|до
i|и
lazarě|лазарѣ
ubьjǫtъ|оубиѭтъ
ako|ако
mъnogi|мъноѕи
jego|ѥго
radi|ради
jьděaxǫ|идѣахѫ
ijudeji|июдеи
i|и
věrovaaxǫ|вѣроваахѫ
vъ|въ
jisusa|исоуса
vъ|въ
utrějь|оутрѣи
že|же
dьnь|дьнь
narodъ|народъ
mъnogъ|мъногъ
prišьdlьkę|пришьльцѧ
vъ|въ
porzdьnikъ|праздьникъ
slyšǞvъše|слъішавъше
ako|ако
jisusъ|исоусъ
grędetъ|грѧдетъ
vъ|въ
ijerusalimъ|иѥроусалимъ
prijęšę|приѩшѧ
|
otъ|отъ
finikъ|финикъ
i|и
jьzidǫ|изидѫ
protivǫ|противѫ
jemu|ѥмоу
i|и
zъvaaxǫ|зъваахѫ
golgoĺǫћe|глаголѭще
osanъna|осанъна
bolgoslovĺenъ|благословл҄енъ
grędyjь|грѧдъіи
vъ|въ
jьmę|имѧ
gospodьńe|господьн҄е
kěsaŕь|цѣсар҄ь
jizrajiĺevъ|издраил҄евъ
obrěte|обрѣте
že|же
jisusъ|исоусъ
osьlę|осьлѧ
vъsěde|въсѣде
na|на
ne|не
akože|акоже
jestъ|ѥстъ
pьsano|пьсано
ne|не
boji|бои
sę|сѧ
dъћi|дъщи
sijonova|сионова
se|се
kěsaŕь|цѣсар҄ь
tvojь|твои
grędetъ|грѧдетъ
sědę|сѣдѧ
na|на
žerbęte|жрѣбѧте
osьĺi|осьл҄и
sixъ|сихъ
že|же
ne|не
orzuměšę|разоумѣшѧ
učeniki|оученици
jego|ѥго
perђe|прѣжде
nъ|нъ
jegъda|ѥгъда
proslavitъ|прославитъ
sę|сѧ
jisusъ|исоусъ
tъgъda|тъгъда
pomęnǫšę|помѧнѫшѧ
ako|ако
si|си
běšę|бѣшѧ
o|о
ńemь|н҄емь
|
i|и
si|си
sъtvorišę|сътворишѧ
jemu|ѥмоу
sъvěděteĺьstvovaaše|съвѣдѣтел҄ьствовааше
narodъ|народъ
jьže|иже
bě|бѣ
﻿sъ|﻿съ
ńimь|н҄имь
jegъda|ѥгъда
lazarě|лазарѣ
vъzgolsi|възгласи
otъ|отъ
groba|гроба
i|и
vъskrěsi|въскрѣси
jego|ѥго
otъ|отъ
mŕ̥tvъjixъ|мрьтвъіихъ
sego|сего
radi|ради
i|и
protivǫ|противѫ
jьzide|изиде
jemu|ѥмоу
narodъ|народъ
ako|ако
slyšǞšę|слъішашѧ
sъtvoŕьšǞ|сътвор҄ьша
znamenьjǞ|знамениꙗ
farisejь|фарисеи
že|же
rěšę|рѣшѧ
kъ|къ
sebě|себѣ
vidite|видите
ako|ако
|
polьga|польѕа
jestъ|ѥстъ
corrupted morphology tag|црароуптед мрапhологъі таг
vьxь|вьсь
mirъ|миръ
po|по
ńemь|н҄емь
jьde|иде
běaxǫ|бѣахѫ
že|же
jelini|ѥлини
jeteri|ѥтери
otъ|отъ
|
da|да
poklonętъ|поклонѧтъ
sę|сѧ
vъ|въ
porzdьnikъ|праздьникъ
si|си
že|же
pristǫpišę|пристѫпишѧ
kъ|къ
filipu|филипоу
jьže|иже
bě|бѣ
otъ|отъ
vitъsajidy|витъсаидъі
galilejьskyjeję|галилеискъіѥѩ
i|и
modĺǞaxǫ|молꙗахѫ
i|и
golgoĺǫћe|глаголѭще
gospodi|господи
xoћemъ|хощемъ
jisusa|исоуса
viděti|видѣти
prijьde|прииде
|
i|и
golgola|глагола
anьdrejovi|аньдреови
i|и
paky|пакъі
anьdrějǞ|аньдрѣꙗ
i|и
filipъ|филипъ
golgolaste|глаголасте
jisusovi|исоусови
jisusъ|исоусъ
že|же
otъvěћǞ|отъвѣща
jima|има
golgoĺę|глаголѩ
prijьde|прииде
čǞsъ|часъ
da|да
proslavitъ|прославитъ
sę|сѧ
synъ|съінъ
čьlověčьskъjь|чьловѣчьскъіи
aminь|аминь
aminь|аминь
golgoĺǫ|глаголѭ
vamъ|вамъ
aћe|аще
zŕ̥no|зрьно
