sapogu|сапогоу
uslyšǞšę|оуслъішашѧ
fariseji|фарисеи
ako|ако
jisusъ|исоусъ
mъnožǞjьšę|мъножаишѧ
učeniky|оученикъі
tvoritъ|творитъ
i|и
krьšћǞjetъ|крьщаѥтъ
neže|неже
ijoanъ|иоанъ
jisusъ|исоусъ
samъ|самъ
ne|не
krьšћǞaše|крьщааше
nъ|нъ
učeniki|оученици
jego|ѥго
ostavi|остави
ijudejǫ|июдеѭ
i|и
jьde|иде
paky|пакъі
vъ|въ
galilejǫ|галилеѭ
dostojǞaše|достоꙗаше
jemu|ѥмоу
projьti|проити
skvozě|сквозѣ
samarijǫ|самариѭ
prijьde|прииде
že|же
vъ|въ
gordъ|градъ
samarьskъ|самарьскъ
narikajemъjь|нарицаѥмъіи
|
jьskrь|искрь
vьxi|вьси
jǫže|ѭже
dastъ|дастъ
ijǞkovъ|иꙗковъ
ijosifu|иосифоу
synu|съіноу
svojemu|своѥмоу
bě|бѣ
že|же
tu|тоу
|
ijǞkovĺь|иꙗковл҄ь
jisusъ|исоусъ
že|же
truђь|троуждь
sę|сѧ
otъ|отъ
pǫti|пѫти
sěděaše|сѣдѣаше
tako|тако
na|на
|
čǞsъ|часъ
bě|бѣ
ako|ако
šestъjь|шестъіи
prijьde|прииде
žena|жена
otъ|отъ
samariję|самариѩ
počertъ|почрѣтъ
vody|водъі
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
daђь|даждь
mъně|мънѣ
piti|пити
učeniki|оученици
bo|бо
jego|ѥго
otъšьdli|отъшьли
běaxǫ|бѣахѫ
vъ|въ
gordъ|градъ
da|да
boršьna|брашьна
kupętъ|коупѧтъ
golgola|глагола
že|же
jemu|ѥмоу
žena|жена
samarěnyńi|самарѣнъін҄и
kako|како
ty|тъі
ijudejь|июдеи
sy|съі
otъ|отъ
mene|мене
piti|пити
prosiši|просиши
ženy|женъі
samarěnyńę|самарѣнъінѩ
sǫћę|сѫщѧ
ne|не
prikasajǫtъ|прицасаѭтъ
bo|бо
sę|сѧ
ijudeji|июдеи
samarěnьxъ|самарѣньхъ
otъvěћǞ|отъвѣща
jisusъ|исоусъ
i|и
reče|рече
jejь|ѥи
aћe|аще
bi|би
věděla|вѣдѣла
darъ|даръ
božьji|божии
i|и
kъto|къто
jestъ|ѥстъ
golgoĺęjь|глаголѩи
tebě|тебѣ
daђь|даждь
mъně|мънѣ
piti|пити
ty|тъі
i|и
prosila|просила
u|оу
ńego|н҄его
i|и
dalъ|далъ
tebě|тебѣ
bi|би
vodǫ|водѫ
corrupted morphology tag|црароуптед мрапhологъі таг
golgola|глагола
jemu|ѥмоу
žena|жена
gospodi|господи
ni|ни
počŕ̥padla|почрьпала
jьmaši|имаши
i|и
|
jestъ|ѥстъ
glǫbokъ|глѫбокъ
otъkǫdu|отъкѫдоу
ubo|оубо
jesi|ѥси
boga|бога
našego|нашего
ijǞkova|иꙗкова
jьže|иже
dastъ|дастъ
namъ|намъ
|
i|и
tъ|тъ
jьz|из
ńego|н҄его
pitъ|питъ
i|и
synove|съінове
jego|ѥго
i|и
skoti|скоти
jego|ѥго
otъvěћǞ|отъвѣща
jisusъ|исоусъ
i|и
reče|рече
jejь|ѥи
vьxakъ|вьсꙗкъ
pьjęjь|пиѩи
otъ|отъ
vody|водъі
seję|сеѩ
vъžǯęђetъ|въждѧждетъ
sę|сѧ
paky|пакъі
a|а
jьže|иже
pьjetъ|пиѥтъ
otъ|отъ
vody|водъі
jǫže|ѭже
azъ|азъ
damь|дамь
jemu|ѥмоу
ne|не
jьmatъ|иматъ
vъžǯędati|въждѧдати
sę|сѧ
vъ|въ
věkъ|вѣкъ
nъ|нъ
voda|вода
jǫže|ѭже
azъ|азъ
damь|дамь
jemu|ѥмоу
bǫdetъ|бѫдетъ
vъ|въ
ńemь|н҄емь
jьstočьnikъ|источьникъ
vody|водъі
|
vъ|въ
životъ|животъ
věčьnъjь|вѣчьнъіи
golgola|глагола
kъ|къ
ńemu|н҄емоу
žena|жена
gospodi|господи
daђь|даждь
mъně|мънѣ
sьjǫ|сиѭ
vodǫ|водѫ
da|да
ni|ни
|
ni|ни
prixoђǫ|прихождѫ
sěmo|сѣмо
počŕ̥patъ|почрьпатъ
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
jьdi|иди
prigolsi|пригласи
mǫžǞ|мѫжа
svojego|своѥго
i|и
