сапогоу|sapogu
съвѣдѣтел҄ьствоуѭтъ|sъvěděteĺьstvujǫtъ
о|o
мнѣ|mъně
нъ|nъ
вꙑ|vy
не|ne
вѣроуете|věrujete
нѣсте|něste
бо|bo
отъ|otъ
овьць|ovьkь
моꙇхъ|mojixъ
ѣкоже|akože
рѣхъ|rěxъ
вамъ|vamъ
Ѡвⸯцѧ|ovьkę
моѩ|moję
гласа|golsa
моего|mojego
слоушаѭтъ|slušǢjǫtъ
ꙇ|i
азъ|azъ
знаѭ|znajǫ
ѩ|ję
ꙇ|i
по|po
мьнѣ|mъně
грѧдѫтъ|grędǫtъ
ꙇ|i
азъ|azъ
животъ|životъ
вѣчьнꙑ|věčьnъjь
даѭ|dajǫ
ꙇмъ|jimъ
ꙇ|i
не|ne
погꙑбнѫтъ|pogybnǫtъ
въ|vъ
вѣкъ|věkъ
ꙇ|i
не|ne
въсхꙑтитъ|vъsxytitъ
ꙇхъ|jixъ
никътоже|nikъtože
отъ|otъ
рѫкꙑ|rǫky
моеѩ|mojeję
о҃ць|otьkь
мои|mojь
ꙇже|jьže
дастъ|dastъ
мьнѣ|mъně
бол҄иі|boĺьjь
вⸯсѣхъ|vьxěxъ
естъ|jestъ
ꙇ|i
никътоже|nikъtože
не|ne
можетъ|možetъ
въсхꙑтити|vъsxytiti
ꙇхъ|jixъ
отъ|otъ
рѫкꙑ|rǫky
о҃ца|boga
моего|mojego
Азъ|azъ
ꙇ|i
о҃ць|otьkь
едино|jedino
есвѣ|jesvě
вьзѧшѧ|vъzęšę
же|že
пакꙑ|paky
камение|kamenьje
ꙇюдѣі|ijudeji
да|da
і|i
побиѭтъ|pobьjǫtъ
ꙇ|i
отъвѣшта|otъvěћǢ
ꙇмъ|jimъ
и҃с|jisusъ
мънога|mъnoga
дѣла|děla
добраа|dobrajǢ
ѣвихъ|avixъ
вамъ|vamъ
отъ|otъ
о҃ца|boga
моего|mojego
за|za
кое|koje
ꙇхъ|jixъ
дѣло|dělo
камение|kamenьje
на|na
мѧ|mę
мештете|
ѡтъвѣшташѧ|otъvěћǢšę
емоу|jemu
ꙇюдѣі|ijudeji
г҃лѭште|golgoĺǫћe
о|o
добрѣ|dobrě
дѣлѣ|dělě
не|ne
мештемъ|meћemъ
камениѣ|kamenьjǢ
на|na
тѧ|tę
нъ|nъ
о|o
власвимиі|
ѣко|ako
тꙑ|ty
ч҃къ|čьlověkъ
сꙑ|sy
твориши|tvoriši
сѧ|sę
самъ|samъ
б҃ъ|bogъ
отъвѣшта|otъvěћǢ
ꙇмъ|jimъ
и҃с|jisusъ
нѣстъ|něstъ
ли|li
псано|pьsano
въ|vъ
законѣ|zakoně
вашемь|vašemь
ѣко|ako
азъ|azъ
рѣхъ|rěxъ
боѕи|bogi
есте|jeste
аште|aћe
онъ|onъ
рече|reče
богꙑ|bogy
къ|kъ
н҄имъже|ńimъže
рече|reče
слово|slovo
б҃жие|božьje
ꙇ|i
не|ne
могѫтъ|mogǫtъ
сѧ|sę
разорити|orzoriti
кън҄игꙑ|kъńigy
егоже|jegože
о҃ць|otьkь
с҃ти|corrupted morphology tag
ꙇ|i
посъла|posъla
въ|vъ
миръ|mirъ
вꙑ|vy
г҃лете|golgoĺete
ѣко|ako
власвимл҄ѣеши|vlasvimĺǢješi
зан҄е|zańe
рѣхъ|rěxъ
ѣко|ako
с҃нъ|synъ
б҃жіи|božьjь
есмь|jesmь
аште|aћe
не|ne
творѫ|tvoŕǫ
дѣлъ|dělъ
о҃ца|boga
моего|mojego
не|ne
емлѣте|jemĺěte
ми|mъně
вѣрꙑ|věry
аште|aћe
ли|li
твор҄ѭ|tvoŕǫ
аште|aћe
ꙇ|i
мьнѣ|mъně
вѣрꙑ|věry
не|ne
емлете|jemĺete
дѣломъ|dělomъ
моꙇмъ|mojimъ
вѣрѫ|věrǫ
ꙇмѣте|jьměte
да|da
разоумѣете|orzumějete
ꙇ|i
вѣроуете|věrujete
ѣко|ako
въ|vъ
мьнѣ|mъně
о҃ць|otьkь
ꙇ|i
азъ|azъ
въ|vъ
о҃ци|otьki
Ꙇскахѫ|jьskaaxǫ
же|že
его|jego
пакꙑ|paky
ѩти|jęti
ꙇзиде|jьzide
отъ|otъ
рѫкꙑ|rǫky
ꙇхъ|jixъ
ꙇ|i
иде|jьde
пакꙑ|paky
на|na
онъ|onъ
полъ|polъ
ꙇордана|ijorъdana
на|na
мѣсто|město
ꙇдеже|jьdeže
бѣ|bě
ꙇоанъ|ijoanъ
прѣжде|perђe
крьстѧ|krьstę
ꙇ|i
прѣбꙑс|
тоу|tu
ꙇ|i
мнози|mъnogi
придѫ|prijьdǫ
къ|kъ
н҄емоу|ńemu
ꙇ|i
г҃лаахѫ|golgolaaxǫ
ѣко|ako
ꙇоанъ|ijoanъ
оубо|ubo
знамениѣ|znamenьjǢ
не|ne
сътвори|sъtvori
ни|ni
едьного|
же|že
вьсѣ|vьxa
елико|corrupted morphology tag
рече|reče
ꙇоанъ|ijoanъ
о|o
семь|semь
ꙇстина|jьstina
бѣ|bě
ꙇ|i
мнози|mъnogi
вѣровашѧ|věrovašę
вь|vъ
н҄его|ńego
тоу|tu
Бѣ|bě
же|že
етеръ|jeterъ
болѧ|bolę
лазарь|lazarъ
отъ|otъ
витаниѩ|vitaniję
градьца|gordьkь
марина|marijina
ꙇ|i
марътꙑ|
сестрꙑ|sestry
еѩ|jeję
бѣ|bě
же|že
мариѣ|marijǢ
помазавъшиѣ|pomazavъšijǢ
г҃ѣ|gospoda
муромь|müromь
ꙇ|i
отьръши|otьrъši
ноѕѣ|nogě
его|jego
власꙑ|volsy
своꙇми|svojimi
еѩже|jejęže
братъ|bratrъ
лазарь|lazarъ
болѣаше|bolěaše
посъласте|posъlaste
же|že
сестрѣ|sestrě
его|jego
къ|kъ
н҄емоу|ńemu
г҃лѭшти|golgoĺǫћi
г҃и|gospodi
се|corrupted morphology tag
егоже|jegože
тꙑ|ty
л҄юбиши|ĺubiši
болитъ|bolitъ
слꙑшавъ|slyšǢvъ
же|že
и҃с|jisusъ
рече|reče
си|si
болѣзнь|bolěznь
нѣстъ|něstъ
къ|kъ
съмръти|sъmŕ̥ti
нъ|nъ
къ|kъ
славѣ|slavě
б҃жꙇ|božьji
да|da
прославитъ|proslavitъ
сѧ|sę
с҃нъ|synъ
б҃жи|božьjь
еѭ|jejǫ
л҄юбл҄ѣаше|ĺubĺǢaše
же|že
ꙇ҃с|jisusъ
марⸯтѫ|marъtǫ
ꙇ|i
сестрѫ|sestrǫ
еѩ|jeję
ꙇ|i
лазарѣ|lazarě
егда|jegъda
же|že
оуслꙑша|uslyšǢ
ѣко|ako
болитъ|bolitъ
тогда|tъgъda
же|že
прѣбꙑстъ|perbystъ
на|na
н҄емьже|ńemьže
бѣ|bě
мѣстѣ|městě
дъва|dъva
дьни|dьni
потомь|potomь
же|že
г҃ла|golgola
оучеником|učenikomъ
ꙇдѣмъ|jьděmъ
въ|vъ
ꙇюдеѭ|ijudejǫ
пакꙑ|paky
г҃лашѧ|golgolašę
емоу|jemu
оученици|učeniki
равви|ravvi
нꙑн҄ѣ|nyně
ꙇскахѫ|jьskaaxǫ
тебе|tebe
камениемь|kamenьjemь
побити|pobiti
ꙇюдеі|ijudeji
ꙇ|i
пакꙑ|paky
ли|li
ꙇдеши|jьdeši
тамо|tamo
отъвѣшта|otъvěћǢ
и҃с|jisusъ
не|ne
дъва|dъva
ли|li
на|na
десѧте|desęte
часа|čǢsa
есте|jeste
въ|vъ
дьни|dьni
аште|aћe
къто|kъto
ходитъ|xoditъ
въ|vъ
дьне|dьne
не|ne
потъкнетъ|potъknetъ
сѧ|sę
ѣко|ako
свѣтъ|světъ
мира|mira
сего|sego
видитъ|viditъ
Аште|aћe
ли|li
къто|kъto
ходитъ|xoditъ
ноштиѭ|noћьjǫ
потъкнетъ|potъknetъ
сѧ|sę
ѣко|ako
свѣта|světa
нѣстъ|něstъ
о|o
н҄емь|ńemь
си|si
рече|reče
ꙇ|i
по|po
семь|semь
г҃ла|golgola
лазарь|lazarъ
дроугъ|drugъ
нашь|našь
оусъпе|usъpe
нъ|nъ
ꙇдѫ|jьdǫ
да|da
възбоуждѫ|vъzbuђǫ
і|i
рѣшѧ|rěšę
же|že
оученици|učeniki
его|jego
г҃и|gospodi
аште|aћe
оусъпе|usъpe
съпасенъ|sъpasenъ
бѫдетъ|bǫdetъ
ꙇ҃с|jisusъ
же|že
рече|reče
о|o
съмръти|sъmŕ̥ti
его|jego
они|oni
же|že
мьнѣшѧ|mьněšę
ѣко|ako
о|o
оусъпениꙇ|usъpenьji
сни|syni
ꙇ|i
съна|sъna
г҃летъ|golgoĺetъ
тогда|tъgъda
рече|reče
ꙇ҃мъ|jimъ
и҃с|jisusъ
не|ne
обиноуѩ|obvinuję
сѧ|sę
лазарь|lazarъ
оумьрѣтъ|umertъ
ꙇ|i
радоуѭ|radujǫ
сѧ|sę
васъ|vasъ
ради|radi
да|da
вѣрѫ|věrǫ
ꙇмете|jьmete
ѣко|ako
не|ne
бѣхъ|běxъ
тоу|tu
нъ|nъ
ꙇдѣмъ|jьděmъ
къ|kъ
н҄емоу|ńemu
рече|reče
же|že
тⸯома|toma
нарицаемꙑ|narikajemъjь
близньць|bliznьkь
къ|kъ
оученикомъ|učenikomъ
ꙇдѣмъ|jьděmъ
ꙇ|i
мꙑ|my
да|da
оумьремъ|umьremъ
съ|﻿sъ
н҄имь|ńimь
пришьдъ|prišьdъ
же|že
и҃с|jisusъ
въ|vъ
витаниѭ|vitanijǫ
обрѣте|obrěte
і|i
четꙑри|četyri
дьни|dьni
ꙇмѫшть|jьmǫћь
въ|vъ
гробѣ|grobě
бѣ|bě
же|že
витаниѣ|vitanijǢ
близъ|blizъ
ꙇ҃лма|ijerusalima
ѣко|ako
д҃|corrupted morphology tag
ꙇ҃|i
стадиі|stadijь
ꙇ|i
мнози|mъnogi
же|že
бѣахѫ|běaxǫ
пришьли|prišьdli
къ|kъ
марⸯтѣ|marъtě
ꙇ|i
марі|
да|da
оутѣшѧтъ|utěšętъ
і|i
о|o
братѣ|bratrьji
ею|jeju
маръта|marъta
же|že
егда|jegъda
оуслꙑша|uslyšǢ
ѣко|ako
и҃с|jisusъ
грѧдетъ|grędetъ
сърѣте|sъrěte
і|i
а|a
мариѣ|marijǢ
дома|doma
сѣдѣаше|sěděaše
рече|reče
же|že
марⸯта|marъta
къ|kъ
і҃су|jisusu
г҃и|gospodi
аште|aћe
би|bi
сьде|sьde
бꙑлъ|bylъ
не|ne
би|bi
братъ|bratrъ
моі|mojь
оумрълъ|umŕ̥lъ
нꙑн҄ѣ|nyně
вѣмь|věmь
ѣко|ako
егоже|jegože
колижьдо|koližьdo
просиши|prosiši
отъ|otъ
б҃а|boga
дастъ|dastъ
ти|tebě
б҃ъ|bogъ
г҃ла|golgola
еі|jejь
и҃с|jisusъ
въскръснетъ|vъskrьsnetъ
братъ|bratrъ
твоі|tvojь
г҃ла|golgola
емоу|jemu
марⸯта|
вѣмь|věmь
ѣко|ako
въскръснетъ|vъskrьsnetъ
въ|vъ
въскрѣшение|vъskrěšenьje
въ|vъ
послѣдьни|poslědьńь
дьнь|dьnь
рече|reče
же|že
еі|jejь
и҃с|jisusъ
Азъ|azъ
есмь|jesmь
въскрѣшение|vъskrěšenьje
ꙇ|i
животъ|životъ
вѣроуѩи|věrujęjь
въ|vъ
мѧ|mę
аште|aћe
оумьретъ|umьretъ
оживетъ|oživetъ
ꙇ|i
вⸯсѣкъ|vьxakъ
живꙑи|živyjь
ꙇ|i
вѣроуѩи|věrujęjь
въ|vъ
мѧ|mę
не|ne
оумьретъ|umьretъ
въ|vъ
вѣкъ|věkъ
ꙇмеши|jьmeši
ли|li
вѣрѫ|věrǫ
семоу|semu
г҃ла|golgola
емоу|jemu
еі|????
г҃и|gospodi
азъ|azъ
вѣровахъ|věrovaxъ
ѣко|ako
тꙑ|ty
еси|jesi
х҃ъ|xristosъ
с҃нъ|synъ
б҃жіи|božьjь
грѧдꙙи|grędyjь
въ|vъ
миръ|mirъ
ꙇ|i
се|se
рекъши|rekъši
ꙇде|jьde
ꙇ|i
призъва|prizъva
мариѭ|marijǫ
сестрѫ|sestrǫ
своѭ|svojǫ
таі|taji
ꙇ|i
рекъши|rekъši
еі|jejь
оучител҄ь|učiteĺь
се|se
естъ|jestъ
ꙇ|i
зоветъ|zovetъ
тѧ|tę
она|ona
же|že
ѣко|ako
оуслꙑша|uslyšǢ
въста|vъsta
скоро|skoro
ꙇ|i
иде|jьde
къ|kъ
н҄емоу|ńemu
не|ne
бѣ|bě
же|že
не|ne
оу|u
и҃с|jisusъ
пришьлъ|prišьdlъ
въ|vъ
вьсⸯь|vьxь
нъ|nъ
бѣ|bě
на|na
мѣстѣ|městě
еште|ješče
ꙇдеже|jьdeže
сърѣте|sъrěte
і|i
марⸯта|
ꙇюдеꙇ|ijudeji
же|že
сѫштеі|sǫћeji
съ|﻿sъ
н҄еѭ|ńejǫ
въ|vъ
домоу|domu
ꙇ|i
оутѣшаѭште|utěšǢjǫћe
ѭ|jǫ
видѣвъше|viděvъše
мариѭ|marijǫ
ѣко|ako
скоро|skoro
въста|vъsta
ꙇ|i
изиде|jьzide
по|po
н҄еі|ńejь
ꙇдѫ|jьdǫ
г҃лѭште|golgoĺǫћe
ѣко|ako
ꙇдетъ|jьdetъ
на|na
гробъ|grobъ
ꙇ|i
плачетъ|plačetъ
сѧ|sę
тоу|tu
мариѣ|marijǢ
же|že
ѣко|ako
приде|prijьde
ꙇдеже|jьdeže
бѣ|bě
и҃с|jisusъ
видѣвъши|viděvъši
ꙇ|i
паде|pade
емоу|jemu
на|na
ногоу|nogu
г҃лѭшти|golgoĺǫћi
емоу|jemu
г҃и|gospodi
аште|aћe
би|bi
бꙑлъ|bylъ
сьде|sьde
не|ne
би|bi
моі|mojь
братъ|bratrъ
оумрълъ|umŕ̥lъ
ꙇ҃с|jisusъ
же|že
ѣко|ako
видѣ|vidě
ѭ|jǫ
плачѫштѫ|plačǫћǫ
сѧ|sę
ꙇ|i
пришьдъшѧѩ|
съ|﻿sъ
н҄еѭ|ńejǫ
ꙇюдеѭ|ijudejǫ
плачѫштѧ|plačǫћę
сѧ|sę
запрѣти|zaperti
доухоу|duxu
ꙇ|i
възмѫти|vъzmǫti
сѧ|sę
самъ|samъ
ꙇ|i
рече|reče
къде|kъde
положисте|položiste
і|i
г҃лашѧ|golgolašę
емоу|jemu
г҃и|gospodi
грѧди|grędi
ꙇ|i
виждь|viђь
ꙇ|i
просльзи|proslьzi
сѧ|sę
и҃с|jisusъ
г҃лахѫ|golgolaaxǫ
же|že
ꙇюдеі|ijudeji
виждь|viђь
како|kako
л҄юбл҄ѣаше|ĺubĺǢaše
і|i
етериі|jeteri
же|že
отъ|otъ
нихъ|ńixъ
рѣшѧ|rěšę
не|ne
можааше|možǢaše
ли|li
сь|sь
отвръзꙑ|otvŕ̥zъjь
очи|oči
слѣпоуемоу|slěpujemu
сътворити|sъtvoriti
да|da
ꙇ|i
сь|sь
не|ne
оумьр҄етъ|umьretъ
ꙇ҃с|jisusъ
же|že
пакꙑ|paky
прѣтѧ|pertę
вь|vъ
себѣ|sebě
приде|prijьde
къ|kъ
гробоу|grobu
бѣ|bě
же|že
пешть|peћь
ꙇ|i
камень|kamenь
належааше|naležǢaše
на|na
н҄еі|ńejь
г҃ла|golgola
и҃с|jisusъ
възъмѣте|vъzьměte
камень|kamenь
г҃ла|golgola
емоу|jemu
сестра|sestra
оумьръшаего|umъnožьšǢjego
марⸯта|
г҃и|gospodi
юже|juže
смръдитъ|smŕ̥ditъ
четврѣдьневьнъ|četvrědьnevьnъ
бо|bo
естъ|jestъ
г҃ла|golgola
еи|jejь
и҃с|jisusъ
не|ne
рѣхъ|rěxъ
ли|li
ти|tebě
ѣко|ako
аште|aћe
вѣроуеши|věruješi
оузьриши|uzьriši
славѫ|slavǫ
б҃жиѭ|božьjǫ
вьзѧсѧ|vъzęsę
же|že
камень|kamenь
ꙇ҃с|jisusъ
же|že
вьзведе|vъzvede
очи|oči
вꙑспрь|vъjьsprь
ꙇ|i
рече|reče
о҃че|otьče
хвалѫ|xvalǫ
тебѣ|tebě
въздаѭ|vъzdajǫ
ѣко|ako
оуслꙑша|uslyšǢ
мѧ|mę
азъ|azъ
вѣдѣахъ|věděaxъ
ѣко|ako
вьсегда|vьxegъda
мене|mene
послоушаеши|poslušǢješi
нъ|nъ
народа|naroda
ради|radi
стоѩштаего|
окръстъ|okrьstъ
рѣхъ|rěxъ
да|da
вѣрѫ|věrǫ
ꙇмѫтъ|jьmǫtъ
ѣко|ako
тꙑ|ty
мѧ|mę
посъла|posъla
ꙇ|i
се|se
рекъ|rekъ
гласомь|golsomь
велиемь|velьjemь
възгласи|vъzgolsi
лазоре|
грѧди|grędi
вънъ|vъnъ
ꙇ|i
абие|abьje
ꙇзиде|jьzide
оумьрꙑ|umъjь
обѧзанъ|obvęzanъ
ногама|nogama
ꙇ|i
рѫкама|rǫkama
оукроемь|ukrojemь
ꙇ|i
лице|like
его|jego
обѧзано|obvęzano
оуброусомь|
г҃ла|golgola
ꙇмъ|jimъ
и҃с|jisusъ
раздрѣшите|orzrěšite
і|i
ꙇ|i
не|ne
дѣꙇте|dějěte
его|jego
ꙇти|jьti
мнози|mъnogi
же|že
отъ|otъ
ꙇюдѣі|ijudeji
пришьдъшеі|prišьdъšeji
къ|kъ
мариі|mariji
видѣвъше|viděvъše
еже|ježe
сътвори|sъtvori
ꙇ҃с|jisusъ
вѣровашѧ|věrovašę
вь|vъ
н҄его|ńego
етери|jeteri
же|že
отъ|otъ
н҄ихъ|ńixъ
ꙇдѫ|jьdǫ
къ|kъ
фарисѣомъ|farisejomъ
ꙇ|i
рѣшѧ|rěšę
ꙇмъ|jimъ
еже|ježe
сътворири|corrupted morphology tag
ꙇ҃с|corrupted morphology tag
събърашѧ|sъbьrašę
же|že
архиереі|arъx́ijereji
ꙇ|i
фарисѣі|fariseji
съборъ|
ꙇ|i
г҃лаахѫ|golgolaaxǫ
чьто|čьto
сътворимъ|sъtvorimъ
ѣко|ako
ч҃къ|čьlověkъ
сь|﻿sъ
знамениѣ|znamenьjǢ
многа|mъnoga
творитъ|tvoritъ
аште|aћe
оставимъ|ostavimъ
і|i
тако|tako
вьси|vьxi
вѣрѫ|věrǫ
ꙇмѫтъ|jьmǫtъ
въ|vъ
н҄ь|ńь
ꙇ|i
придѫтъ|prijьdǫtъ
римл҄ѣне|rimĺǢne
ꙇ|i
възъмѫтъ|vъzьmǫtъ
і|i
мѣсто|město
ѩзꙑкъ|językъ
единъ|jedinъ
же|že
отъ|otъ
н҄ихъ|ńixъ
каꙇафа|kajijǢfa
архиереі|arъx́ijerejь
сꙑ|sy
лѣтоу|lětu
томоу|tomu
рече|reče
ꙇмъ|jimъ
вꙑ|vy
не|ne
вѣсте|věste
ничесоже|ničesože
ни|ni
помꙑшл҄ѣете|pomyšĺǢjete
ѣко|ako
добрѣе|dobrě
естъ|jestъ
вамъ|vamъ
да|da
единъ|jedinъ
ч҃къ|čьlověkъ
оумьр҄етъ|umьretъ
за|za
л҄юди|ĺudi
а|a
не|ne
вьсь|vьxь
ѩзꙑкъ|językъ
погꙑбнетъ|pogybnetъ
сего|sego
же|že
о|o
себѣ|sebě
не|ne
рече|reče
нъ|nъ
архиереі|arъx́ijerejь
сꙑ|sy
лѣтоу|lětu
томоу|tomu
прорече|proreče
ѣко|ako
хотѣаше|xotěaše
и҃с|jisusъ
оумьрѣти|umerti
за|za
л҄юди|ĺudi
ꙇ|i
не|ne
тъкъмо|tъkъmo
за|za
л҄юди|ĺudi
нъ|nъ
і|i
да|da
чѧда|čęda
б҃жиѣ|božьjǢ
съберетъ|sъberetъ
расточенаа|orstočenajǢ
въ|vъ
едино|jedino
Ѡтъ|otъ
того|togo
же|že
дьне|dьne
съвѣшташѧ|sъvěšћǢšę
да|da
ꙇ|i
бѫ|bǫ
оубили|ubili
ꙇ҃с|jisusъ
же|že
къ|kъ
томоу|tomu
не|ne
ѣвѣ|avě
хождааше|xoђǢaše
въ|vъ
ꙇюдеꙇхъ|ijudejixъ
нъ|nъ
ꙇде|jьde
отътѫдоу|otъtǫdu
въ|vъ
странѫ|stornǫ
близъ|blizъ
въ|vъ
поустꙑн҄и|pustyńi
въ|vъ
ефреомъ|
нарицаемъ|narikajemъ
градъ|gordъ
ꙇ|i
тоу|tu
живѣаше|živěaše
съ|﻿sъ
оученикꙑ|učeniky
своꙇми|svojimi
Бѣ|bě
же|že
близъ|blizъ
пасха|pasxa
ꙇюдеꙇска|ijudejьska
ꙇ|i
вьзидѫ|vъzidǫ
мⸯнози|mъnogi
въ|vъ
ꙇ҃лмъ|ijerusalimъ
отъ|otъ
странꙑ|storny
прѣжде|perђe
пасхꙑ|pasxy
да|da
очистѧтъ|očistętъ
сѧ|sę
Ꙇ|i
искахѫ|jьskaaxǫ
же|že
и҃са|jisusa
ꙇ|i
г҃лахѫ|golgolaaxǫ
къ|kъ
себѣ|sebě
въ|vъ
цръкъве|kŕ̥kъve
стоѩште|stojęћe
чьто|čьto
сѧ|sę
мьнитъ|mьnitъ
вамъ|vamъ
ѣко|ako
не|ne
ꙇматъ|jьmatъ
ли|li
прити|prijьti
въ|vъ
праздьникъ|porzdьnikъ
дашѧ|dašę
бо|bo
архиереі|arъx́ijereji
ꙇ|i
фарисѣі|fariseji
заповѣдь|zapovědь
да|da
аште|aћe
къто|kъto
оштютитъ|oћutitъ
і|i
къде|kъde
бѫдетъ|bǫdetъ
повѣсте|
да|da
ꙇмѫтъ|jьmǫtъ
і|i
Ꙇ҃с|jisusъ
же|že
прѣжде|perђe
шести|šesti
дьнъ|dьnъ
пасхꙑ|pasxy
приде|prijьde
въ|vъ
витаниѭ|vitanijǫ
ꙇдеже|jьdeže
бѣ|bě
лазарь|lazarъ
оумьрꙑ|umъjь
егоже|jegože
въскрѣси|vъskrěsi
отъ|otъ
мрътвꙑхъ|mŕ̥tvъjixъ
и҃с|jisusъ
сътворишѧ|sъtvorišę
же|že
емоу|jemu
вечерѫ|večeŕǫ
тоу|tu
ꙇ|i
марⸯта|
слоужааше|služǢaše
лазарь|lazarъ
же|že
единъ|jedinъ
бѣ|bě
отъ|otъ
вьзлежѧштихъ|vъzležęћьjixъ
съ|﻿sъ
н҄имь|ńimь
Мариѣ|marijǢ
же|že
приімъши|prijьmъši
ливрѫ|
хризмꙑ|xrizmy
нарда|narъda
пистикиѩ|pistiḱiję
многоцѣннꙑ|
помаза|pomaza
ноѕѣ|nogě
ꙇ҃свѣ|jisusově
ꙇ|i
отръ|otŕ̥
власꙑ|volsy
своꙇми|svojimi
ноѕѣ|nogě
его|jego
храмина|xormina
же|že
ꙇсплъни|jьspĺ̥ni
сѧ|sę
отъ|otъ
вон҄ѧ|vońę
хризмьнꙑѩ|xrizmьnyjeję
Г҃ла|golgola
же|že
единъ|jedinъ
отъ|otъ
оученикъ|učenikъ
его|jego
ꙇюда|ijuda
симонъ|simonъ
ꙇскариотьскꙑ|iskarijotьskъjь
ꙇже|jьže
і|i
хотѣаше|xotěaše
прѣдати|perdati
чесо|česo
ради|radi
хризма|xrizma
си|si
не|ne
продана|prodana
бꙑстъ|bystъ
на|na
трьхъ|trьxъ
сътѣхъ|
пѣнѧзь|pěnęgь
ꙇ|i
дана|dana
ништимъ|nišћemъjimъ
се|corrupted morphology tag
же|že
рече|reče
не|ne
ѣко|ako
о|o
ништихъ|
печааше|pečǢaše
сѧ|sę
нъ|nъ
ѣко|ako
тать|tatь
бѣ|bě
ꙇ|i
ковьчежьць|kovьčegъ
ꙇмꙑ|jьmy
ꙇ|i
въметаемаа|
ношааше|nošǢaše
рече|reče
же|že
и҃с|jisusъ
не|ne
дѣі|ději
еѩ|jeję
да|da
вь|vъ
дьнь|dьnь
погребениѣ|pogrebenьjǢ
моего|mojego
събл҄юдетъ|sъbĺudetъ
ѭ|jǫ
ништѧѩ|nišћęję
бо|bo
вьсегда|vьxegъda
съ|﻿sъ
собоѭ|sobojǫ
ꙇмате|jьmate
а|a
мене|mene
не|ne
вьсегда|vьxegъda
ꙇмате|jьmate
Разоумѣ|orzumě
же|že
народъ|narodъ
многъ|mъnogъ
отъ|otъ
ꙇюдеі|ijudeji
ѣко|ako
тоу|tu
естъ|jestъ
ꙇ|i
придѫ|prijьdǫ
не|ne
и҃са|jisusa
ради|radi
тъкъмо|tъkъmo
нъ|nъ
да|da
ꙇ|i
лазарѣ|lazara
видѧтъ|vidętъ
егоже|jegože
въскрѣси|vъskrěsi
отъ|otъ
мрътвъꙇхъ|mŕ̥tvъjixъ
съвѣшташѧ|sъvěšћǢšę
же|že
архиереі|arъx́ijereji
до|do
ꙇ|i
лазарѣ|lazarě
оубиѭтъ|ubьjǫtъ
ѣко|ako
мнози|mъnogi
его|jego
ради|radi
ꙇдѣахѫ|jьděaxǫ
ꙇюдѣі|ijudeji
ꙇ|i
вѣровахѫ|věrovaaxǫ
въ|vъ
ꙇ҃са|jisusa
Въ|vъ
оутрѣꙇ|utrějь
же|že
дьнь|dьnь
народъ|narodъ
многъ|mъnogъ
пришьдꙑ|prišьdlьkę
въ|vъ
праздьникъ|porzdьnikъ
слꙑшавъше|slyšǢvъše
ѣко|ako
и҃с|jisusъ
грѧдетъ|grędetъ
въ|vъ
ꙇ҃лмъ|ijerusalimъ
приѩшѧ|prijęšę
ваꙇ|
отъ|otъ
финикъ|finikъ
ꙇ|i
изидѫ|jьzidǫ
противѫ|protivǫ
емоу|jemu
ꙇ|i
зъваахѫ|zъvaaxǫ
г҃лѭште|golgoĺǫћe
ѡсанна|osanъna
благословенъ|bolgoslovĺenъ
грѧдꙙи|grędyjь
въ|vъ
ꙇмѧ|jьmę
г҃не|gospodьńe
ц҃рь|kěsaŕь
ꙇздраꙇлевъ|jizrajiĺevъ
Ѡбрѣте|obrěte
же|že
и҃с|jisusъ
осьлѧ|osьlę
вьсѣде|vъsěde
на|na
н҄е|ne
ѣкоже|akože
естъ|jestъ
псано|pьsano
не|ne
боꙇ|boji
сѧ|sę
дъшти|dъћi
сионова|sijonova
се|se
ц҃рь|kěsaŕь
твоі|tvojь
грѧдетъ|grędetъ
сѣдѧ|sědę
на|na
жрѣбѧте|žerbęte
осъл҄и|osьĺi
Сихъ|sixъ
же|že
не|ne
разоумѣшѧ|orzuměšę
оученици|učeniki
его|jego
прѣжде|perђe
нъ|nъ
егда|jegъda
прослави[тъ|proslavitъ
сѧ|sę
и҃с|jisusъ
тогда|tъgъda
помѣнѫшѧ|pomęnǫšę
ѣко|ako
си|si
бѣшѧ|běšę
о|o
н҄емь|ńemь
псана|
ꙇ|i
си|si
сътворишѧ|sъtvorišę
емоу|jemu
съвѣдѣтел҄ьствовааше|sъvěděteĺьstvovaaše
народъ|narodъ
ꙇже|jьže
бѣ|bě
съ|﻿sъ
н҄имь|ńimь
егда|jegъda
лазарѣ|lazarě
възгласи|vъzgolsi
отъ|otъ
гроба|groba
ꙇ|i
въскрѣси|vъskrěsi
его|jego
отъ|otъ
мрътвꙑхъ|mŕ̥tvъjixъ
сего|sego
ради|radi
ꙇ|i
противѫ|protivǫ
ꙇзиде|jьzide
емоу|jemu
народъ|narodъ
ѣко|ako
слꙑшашѧ|slyšǢšę
сътворьша|sъtvoŕьšǢ
знамениѣ|znamenьjǢ
фарисѣі|farisejь
же|že
рѣшѧ|rěšę
къ|kъ
себѣ|sebě
видите|vidite
ѣко|ako
никааже|
польза|polьga
естъ|jestъ
се|corrupted morphology tag
вьсь|vьxь
миръ|mirъ
по|po
н҄емь|ńemь
ꙇде|jьde
Бѣахѫ|běaxǫ
же|že
еллини|jelini
етери|jeteri
отъ|otъ
