сапогоу|sapogu
ꙇюдеи|ijudeji
самарѣнехъ|samarěnьxъ
отъвѣшта|otъvěћǢ
и҃с|jisusъ
ꙇ|i
рече|reče
еі|jejь
аште|aћe
би|bi
вѣдѣла|věděla
даръ|darъ
б҃жі|božьji
ꙇ|i
къто|kъto
естъ|jestъ
г҃лѧꙇ|golgoĺęjь
ти|tebě
даждь|daђь
ми|mъně
пити|piti
тꙑ|ty
и|i
просила|prosila
оу|u
него|ńego
ꙇ|i
далъ|dalъ
ти|tebě
би|bi
водѫ|vodǫ
живѫ|corrupted morphology tag
г҃ла|golgola
емоу|jemu
жена|žena
г҃и|gospodi
ни|ni
почръпальника|počŕ̥padla
ꙇмаши|jьmaši
ꙇ|i
кладѧѕь|
естъ|jestъ
глѫбокъ|glǫbokъ
отъкѫдоу|otъkǫdu
оубо|ubo
еси|jesi
о҃ца|boga
нашего|našego
ꙇѣкова|ijǢkova
ꙇже|jьže
дастъ|dastъ
намъ|namъ
кладѧзь|
ꙇ|i
тъ|tъ
ꙇж|jьz
него|ńego
питъ|pitъ
ꙇ|i
с҃нове|synove
его|jego
ꙇ|i
скоти|skoti
его|jego
отъвѣшта|otъvěћǢ
и҃с|jisusъ
ꙇ|i
рече|reče
еи|jejь
вьсѣкъ|vьxakъ
пиѩи|pьjęjь
отъ|otъ
водꙑ|vody
сеѩ|seję
вьждѩждетъ|vъžǯęђetъ
сѧ|sę
пакꙑ|paky
а|a
ꙇже|jьže
пиетъ|pьjetъ
отъ|otъ
водꙑ|vody
ѭже|jǫže
азъ|azъ
дамь|damь
емоу|jemu
не|ne
ꙇматъ|jьmatъ
въждѧдати|vъžǯędati
сѧ|sę
въ|vъ
вѣкъ|věkъ
нъ|nъ
вода|voda
ѭже|jǫže
азъ|azъ
дамь|damь
емоу|jemu
бѫдетъ|bǫdetъ
вь|vъ
н҄емь|ńemь
ꙇсточьникъ|jьstočьnikъ
водꙑ|vody
вьслѣплѫштѫѭ|
въ|vъ
животъ|životъ
вѣчьнꙑ|věčьnъjь
г҃ла|golgola
къ|kъ
н҄емоу|ńemu
жена|žena
г҃и|gospodi
даждь|daђь
ми|mъně
сиѭ|sьjǫ
водѫ|vodǫ
да|da
ни|ni
жѧждѫ|
ни|ni
прихождѫ|prixoђǫ
сѣмо|sěmo
почръпатъ|počŕ̥patъ
г҃ла|golgola
еи|jejь
ꙇ҃с|jisusъ
ꙇди|jьdi
пригласи|prigolsi
мѫжа|mǫžǢ
своего|svojego
ꙇ|i
приди|prijьdi
сѣмо|sěmo
отъвѣшта|otъvěћǢ
жена|žena
ꙇ|i
рече|reče
емоу|jemu
не|ne
ꙇмамь|jьmamь
мѫжа|mǫžǢ
г҃ла|golgola
еи|jejь
ꙇ҃с|jisusъ
добрѣ|dobrě
рече|reče
ѣко|ako
